,cumulative_return,ann_return,ann_vol,sharpe
strategy,2.6717304378289684,0.1765382055765669,0.17860671315090582,0.9884186459801226
benchmark,2.5000582037878147,0.17085830799416452,0.17987373796557227,0.9498791203522818
